종목코드,매수단가,수량
328380,\897,"5,651"
048830,"\1,053","4,366"
065060,\734,"7,762"
225590,\884,"5,098"
069640,\624,"7,374"
353190,\686,"7,086"
,,
123840,\566,"4,234"
131180,\976,"2,534"
333050,"\1,226","1,875"
290520,"\1,899","1,105"
032080,"\1,300","1,752"
092600,\868,"2,614"
121890,"\1,650","1,277"
275630,"\3,879",592
096870,"\2,204","1,011"
273060,\831,"2,527"
018620,\722,"3,138"
389680,\533,"4,469"
344860,"\1,525","1,490"
017250,"\1,080","2,242"
140430,\631,"3,567"
051780,\925,"3,206"
139670,"\1,816","1,233"
290560,"\1,723","1,320"
